the same A copy of my note,Mr Legare dated June 1st is here- ,,,,,
circumstances known,me was a private one and would not likely ,,,,,
be met by the Govt but that the same would be submited by me to ,,,,,,
your department for its information. I deem it unnecessary,add ,,,,,
any thing further in relation,the petition as its showing is suffi- ,,,,,
enclosed. I did not think it necessary,send a duplicate copy as ,,,,,
b Properly 1Q2. â€¢ Van Zandt,Jones, May 3 1843,,,,
d The matter omitted here relates,Van Zandt's salary. ,,,,,
the letters alluded to.**) ,,,,,,
[Inclosed is a copy of Van Zandt,Legar^; June 1 1843,,,,,
and thirty six, your memorialist Joseph Cooper was applied,by ,,,,
General Memucan Hunt,furnish fire arms, swords and ammunition ,,,,
to agree,furnish the same and General Hunt handed your memo- ,,,,,
payable at the Bank of America in the City of New York,the ,,,,,
money designed,be raised upon said notes for the benefit of the ,,,,,
to the liquidation of said notes anterior,aU the endorsers who ,,,,,
as,secure the punctual payment of all of said notes, and thereby ,,,,
in the aggregate,the sum â€” ^ninety two thousand dollars. ,,,,,
a For these letters, see Raymond,Jones, May 12 1843,,,
And your memorialist shows that he furnished,General Himt ,,,,,
and thirty four dollars, and he is willing,give up all the notes if he ,,,,
can be paid what is justly due,him. ,,,,,
ing the account or any of the notes,sue General Hunt in New ,,,,,
has,pay his lawyers a large amount for fees. ,,,,,
Although he has made urgent request of General Htmt,pay or ,,,,,
cause the said amoimt due,him,be paid, and though application ,,,
has been made,the surety General Henderson, yet the debt has ,,,,
age; and will not be able,pay his honest debts unless the above ,,,,,
account be paid,him. ,,,,,
such measures as will secure,your memorialist and his family the ,,,,,
I have the honor,acknowledge the receipt of Mr. Raymond's ,,,,,
letter,this Department, under date of the 12th Ulto. with the ,,,,
accompanying documents, in relation,certain acts of Col. Warfield. ,,,,
Enclosed I send you a copy of the instructions given,Col^ War- ,,,,,
ment was led,believe that he would act immediat^y, and the ,,,,
object of giving him his powers was,make a diversion through Ms ,,,,,
agency, so as,favor the expeditiooi which [it} wae anticipated would ,,,,
is in our declared limits) to fall down and form a junfitioik with the ,,,,,,
Yon will pereieve that the instructions,Col. Warfield in no respect ,,,,,
its sancticm,any act ol Col. Warfield, which should violate the ,,,,
will forward,Mr. Warfield whenever you can ascertain his locality. ,,,,,
Upon his receipt of the same it will opiate as a notification,him ,,,,,
granted,Mr. Warfldd has been sect him. ,,,,,
I have the honeor,be * ,,,,,
Eve,President of Texas [Houston.] *Â» ,,,,,
Eve,Jones.'' ,,,,,
[Transmitting Eve's letter of recall and his address,President ,,,,,
taking leave of your Government,avail myself of the occasion, to ,,,,
express,you assurances of the continued good will of the President ,,,,,
sisting between the two countries, which I pray God may continue to ,,,,,
exist. Were I,stop here Mr. President without expressing my ,,,,,
gratitude for your kindness, and that of the people of Texas,me, ,,,
I should do injustice,my own feelings. The courtious, and uncere- ,,,,
trust, and hope the day is not distant, if Mexico shall not yield to ,,,,
on that continent, and say,Mexico, the war you are waging is ,,,
according,the usages of international law, with Christian people, ,,,
pendence, which I consider,have teen perfected on the glorious ,,,,
The mercy and humanity displayed on that occasion,a foe that had ,,,,,
never shown either, adds a glorioxis lustre,the victory of that day. ,,,,
a A. In, June 10, 1S43. See Eve,Jones of the same date. ^ A. L. S., June 10 1843,,
his gallant companions,be slain in cold blood. He had justly for- ,,,,,
should entitle you,the admiration of posterity. ,,,,,
your climate is fine, the soil equal,any, and rewards the husband- ,,,
population has steadily increased and will continue,increase, your ,,,,
ness, to render happy and secure any people. The inteUigence of ,,,,,
not leave a doubt that Texas is destined,take a proud rank amidst ,,,,,
of a large majority of your fellow citizens,preside over the destinies ,,,,,
satisfactory, to your countrymen, and .those who feel an interest in ,,,,
Texas abroad, and that you will add,a fame so hardly won. You ,,,,
I have the honor,be with great consideration ,,,,,
Jones,Van Zandt.* ,,,,,
Jones,Van Zandt.*Â» ,,,,,
Since my communication,you of the 10th. Inst., infonnation has ,,,,
hostQities on his part, and that he would agree,an Armistice with ,,,,
Texas, and receive Commissioners,treat on terms of peace. ,,,,
Copies of the several documents in relation,this matter, together ,,,,
you were instructed,make,tfaje Government of the United States, ,,,
in my despatch,you of thÂ« 10th. Instant. ,,,,,
I have the honor,be. ,,,,,
cates the course which this Govt, may have,pursue in the event of ,,,,
(Duplicate sent,A. Smith, Esqr.) ,,,,
Murphy,Secretary op State [LeoabÂ£]. ,,,,,
Van 25andt,Jones.* ,,,,,
I have the honor,acknowledge the receipt of ymxr Official ,,,,,
Communications of the 8 and 9th Ultimo. In regard,that portion ,,,,,
a Copied, mutatia mutandit, from Jones,Smith of the same date. See Records of DepartniBot of ,,,
e Properly 103. See Van Zandt,Jones, June 5 1843,,,,
of the same which relates,negroes of Mr Bobinson alledged,have ,,,,
ing,be the situation as appears from the records of this legation. ,,,,,
Mr Bobertsons statement (which I suppose similar,the one now ,,,,,
made) and requesting the restoration of the two negro slaves,their ,,,,,
injuries,Mr Bobertson and his property. On the 7th October same ,,,,,
that the matter had been refered,the War Department, that the ,,,,
of whose report was submited,Mr Amory. The Secretary of ,,,,,
belonging,Texas He states that the SSrd Article of the treaty ,,,,,
States could only use persuasive measures with the Indians,procure ,,,,,
would be indemnification by the Grovt,be settled by negotiation ,,,,,
"He further states that [""]in regard",the two negroes if it be found ,,,,,
them,be restored'' He then goes on,state the act of April 20th ,,,,
1818 Â« which makes it penal,bring hold or sell a slave from any ,,,,,
this act if the negroes belong,Mr Bobertson whether they were ,,,,,
have,be given up and those who brought them into the country and ,,,,,
now hold them would be liable,be prosecuted and,the penalty ,,,,
wrong refered,open and upon that account declines admiting ,,,,,
that all the evidence possible should be procured in relation,this ,,,,,
Charge in Texas or communicated,this I^ation Since that time ,,,,,
The United States appear,be willing,consider them as captives ,,,,
seems,have sent the original statement of Mr Robinson and all ,,,,,
the other evidence if there was any,the Secretary of State of the ,,,,,
should be referred,Mr Robinson that he may obtain all the proof ,,,,,
your Department in relation,the same, when I shall without delay ,,,,
Acting Secretary of State in reply,my note of the 3d of February ,,,,,
last in relation,the conduct of A M M Upshaw Indian Agent and ,,,,,
only necessary,acknowledge their receipt and advise Mr Legare ,,,,,
that the same was transmitted,my Government for its information. ,,,,,
Texian side has been frequently made,the War Department here ,,,,,
has the power,prevent the sale of whiskey,the Indians along ,,,,
as will be least detrimental,the public service. I have been gov- ,,,,,
being now absent from the seat of Government I deemed it best to ,,,,,,
avail myself of the occasion,visit my family during their absence. ,,,,,
I hope,be able,reach there by their retiurn. ,,,,
[Inclosed are copies of the following:* Upshaw,Crawford, April ,,,,
15 1843,,,,,,
May 27 1843,,,,,,
â€¢ Here is omitted a paragraph relating,Van Zandt's salary. ,,,,,
Van Zandt,Legae^.* ,,,,,
Jones,Van Zandt. ,,,,,
10th day of February last you were instructed,give,the Secre- ,,,,
tion,the subject of the annexation of Texas,that government, ,,,
and authorized on the happening of certain contingences,enter ,,,,,
into some preliminary negotiations in relation,this subject, etc. ,,,,
difficulties with Mexico, the President deems it adviseable,take ,,,,
no further action at present in reference,annexation, but has ,,,,
decided,await the issue of events now in progress, and,postpone ,,,
very much simplify the question of the annexation of Texas,the ,,,,,
United States, and if after this event Texas should continue,desire ,,,,
this annexation, a treaty for the purpose would be more likely to ,,,,,
succeed and,meet with favor from the people of the United States, ,,,,
It being therefore the policy of this government,occupy itself ,,,,,
tenth day of February last above referred,are hereby suspended ,,,,,
fact,him verbally ,,,,,
I have the honor,be ,,,,,
Jones,Van Zandt. ,,,,,
I have the honor,acknowledge the receipt of your despatch No ,,,,,
A copy of Mr. Legare's note in reference,the acts of Col. Warfield ,,,,,
was previously forwarded,this Department by Mr. Raymond and ,,,,,
In relation,the petition of Mr. Cooper Gun Maker of New York ,,,,,
for payment of a claim of $2234, for arms etc furnished,Gen. ,,,,
same and consequently there can be no obligation on its part,assume ,,,,,
My last communications,you were of the 8th and 16th * of June ,,,,,
I have the honor,be ,,,,,
P. S. Please present my best respect,Mr. Bodisco and,Mr ,,,,
a 102. See Van Zandt,Jones, June 5 1843,,,,
b Here and after the postscript are omitted paragraphs relating,Van Zandt's salary. ,,,,,
/July 0,1843. See Jones,Van Zandt, September 29 1843,,,
Van Zandt,Upshur.** ,,,,,
Van Zandt,Upshur. '^ ,,,,,
Van Zandt,Jones.*' ,,,,,
In your despatch of the 22nd. of May last,* I was requested to ,,,,,
to patents; and,forward them by the first safe opportunity to ,,,,,
the use of your Department. Should I not be able,send them by ,,,,,
them,New Orleans, via. Baltimore. ,,,,
In your despatch of the 1st. of June, I was instructed,commu- ,,,,
nicate,the Grovemment of the United States, information of the ,,,,
necessary steps,afford such redress, as the circumstances of the ,,,,
I made,Mr. Upshur Secretary of State upon the subject. So soon ,,,,,
The letter of the War Department,Col Warfield, was duly mailed ,,,,
the city, to forward the same,such* point as he would most probably ,,,,
this time, but I supposed the letter most likely,reach him at the ,,,,
point alluded to. ,,,,,,
a August 4 1843,,,,,,
h August 8 1843,,,,,,
"d Erroneously indorsed ""No. 103."" See Van Zandt",Jones, June 5 1843,,,,
Enclosed is a copy of my letter,Mr. Upshur of the 4th. inst in ,,,,,
relation,the movements of Col. Warfield upon the border. ,,,,,
In your dispatch of the 15th. of June last, I am instructed,defer ,,,,
for the present commimicating,the Grovemment of the United ,,,,,
Secretary of State,peruse the whole of this last mentioned dispatch, ,,,,
as it indicates the course, which the Government may yet have to ,,,,,
am gratified,find that the views of the Secretary coincide so well ,,,,,
at present disposed,acknowledge the independence of Texas, or ,,,,
acceded,by the President, and people of Texas,) but the measure ,,,
stantly sought,agitate the people thereby creating confusion, and ,,,,
Since my return,the seat of Government, I have had several ,,,,
auspicious moment for the United States, to again press their ,,,,,
of our difficulties, with Mexico, I deemed it proper,bring this ,,,
have now the honor,be able,communicate,you the result ,,,
of this application^ which I hope will prove highly satisfactory to ,,,,,,
yourself as well as,His Excellency, the President. ,,,,
instructed, in the name of his Crovemment,protest, and remon- ,,,
Anna, which directed all foreigners taken in arms,be immediately ,,,,
put,death. Mr. Thompson is directed,say,the Mexican Gov- ,,,
and Mr. Thompson is directed,say, that the United States have ,,,,
waged by civilized nations, deserves,be classed as a war of plunder, ,,,
inhuman treatment, which has been extended,prisoners of war. ,,,,
The United States acknowledge the right of Mexico,resubjugate ,,,,,
Texas if she have the ability, but they question her right, longer to ,,,,
war ought,be at once brought,a termination, either by negotia- ,,,
nation, by her ability,resubjugate Texas, or a magnanimous one, ,,
by acknowledging her inability,do it â€” that by keeping the question ,,,,,
imdecided she not only evinces her inability,resubjugate Texas, but ,,,,
a want of magnanimity by refusing,acknowledge her independence. ,,,,,
as individuals, and that no nation has the right,set herself above ,,,,
instructions, and Mr. Thompson is directed,urge these considera- ,,,,
istration,use every means in their power,terminate the contest ,,,,
between Texas and Mexico; the right,employ force, or in other ,,,,
words,declare way belongs alone,Congress. Had this decided ,,,,
may incline him,peace. ,,,,,
Yours of the 6th. ultimo in relation,Uie subject of annexation has ,,,,,
been received, but I have not thought it proper,mention,the ,,,
Secretary of State, at the pres^it, that my instructions, in relation to ,,,
shall however in a few days make known,him verbally the fact ,,,,,
according,your instructions. ,,,,,
I shall send,Mr. Cooper, gun maker New York, your answer rela- ,,,
tive,his claim against Genl. Hunt. ,,,,,
in relation,the disarming of Col. Snively, and his command upon ,,,,
relation,this matter, I herewith send you a slip from the paper ,,,,
alluded to, which will furnish all the information I have yet obtained ,,,,,
upon the subject.* The subject has doubtless been communicated to ,,,,,,
and Secretary of War are now absent, I am unable,obtain any ,,,,
I deem it unnecessary,offer any comment upon this outrageous ,,,,,
have the honor,be Very Respety, ,,,,
P S. I shall send you a private communication by,nights mail. ,,,,,
[Next follow copies of Van Zandt,Upshur, August 4 1843,,,,
Zandt,Upshur, August 8 1843,,,,
Upshub,Van Zandt.* ,,,,,
Van Zandt,Jones.* ,,,,,
a A paragnph relating,Van Zandt's salary omitted. ,,,,,
e For both and for the indosure In the first, Hockley,Warfield, August 16 1842,,,
d August 10 1843,,,,,,
Van Zandt,Jones.Â® ,,,,,
I have the honor herewith,transmit,you a copy of a letter, ,,,
in reply,my communication,him of the 8th. instant, upon the ,,,
every exertion,obtain full information in regard,the case, and ,,,
said he hoped soon,be able,communicate,me further in rela- ,,,
tion,it. ,,,,,
In a personal interview,day with Mr. Porter Secretary of War, ,,,,
that gentleman did me the kindness,suffer me,peruse the prin- ,,,,
enormous outrage. I deem it unnecessary,send you a synopsis ,,,,,
evidently designed,be magnificently eloquent, and a full com- ,,,,
having already terminated, I think it lumecessary,take any steps ,,,,
in relation,it here, until I receive the instructions of your Depart- ,,,,
Gt)v Butler, late, United States Commissioner,Texas is here, and ,,
from him I have learned some facts relative,the contemplated ,,,,,
which it would appear they had been invited,attend at some point ,,,,,
willingness and desire,meet on the waters of Red River on the ,,,,,
their Chickasaw, and Cherokee brothers not,make a treaty with Texas ,,,,
will not come,Birds Fort, until they are first met higher up. ,,,,
should take the lead if possible in inviting them,the meeting. ,,,,,
to make his Government a full party,the contemplated treaty, or ,,,,
the Department, to revoke the former instructions and make the ,,,,,
agree,the proposition; if he does, the question then arises, as,the ,,
being here and on his way,South Carolina,remain for some time, ,,,
would it not be better,arrange the whole now and let the necessary ,,,,,
result with great advantage,Texas. Every treaty made with the ,,,,,
mal communication,the Secretary of State upon this subject on ,,,,,
tomorrow, a copy of which, with his reply thereto I shall transmit to ,,,,
If I can obtain the sanction of this Government,send out some ,,,,,
persons,invite the Indians in, it will likely be more effectual, and ,,,
save us at the same time much expence. This I will endeavour to ,,,,,,
I have the honor,be. Very Respct. Yr Obt. Servt. ,,,,,
[Here follows a copy of Upshur,Van Zandt, August 10 1843,,,,
(Secretary of War,Secretary of State.) ,,,,,
The matter seems,have been referred,the Representative of ,,,,
(Mr. Armstrong,Mr. Crawford.) ,,,,,
as I am informed are these. The Boat was unable,get up for want ,,,,,
of water, and stored the goods on the Texas side, and returned,the ,,,
stand that the case has been represented,our Chargfi d 'Affaires in ,,,,,
Texas, and also that a memorial has gone,the President of the ,,,,
any control over them. It has been customary for boats,store ,,,,,
employed as packets in carrying freight. I thought it my duty to ,,,,,,
communicate this affair,you and will give such further information ,,,,,
(Same,Same, ft) ,,,,
a Ab,this date, see Upshur,Van Zandt, August 10 1843,,
sent a guard as I learn,protect the public property. The citizens ,,,,,
Give you the news as I hear it, which will doubtless be a complaint to ,,,,,
Van Zandt,"Upshur."" ",,,,,
Derrick,Van Zandt.* ,,,,,
Commissioner of Indian Affairs [Crawford] to Secretary of ,,,,,,
Jones,Van Zandt.^* ,,,,,
Raymond,Jones./ ,,,,,
the kindness,take under his charge 'the blank forms etc of the ,,,,,
a August 16 1843,,,,,,
c August 18 1843,,,,,,
Genl. Post Office Department, and has promised,deliver the same ,,,,
mail,you. Mr. Van Zandt is at Alexandria,day and will not ,,,,
his power,bring about a peace between Texas and aU the Indian ,,,,,
tribes, and I think he will be fully empowered,make the U. S a ,,,,
party,a treaty and a guarantor for the* faithful performance of ,,,,,
Mr. Van Zandt has made three communications,your depart- ,,,,,
Will you please present my kindest regards,the President and ,,,,,
Parker,"Upshur."" ",,,,,
Van Zandt,Jones. * ,,,,,
for Texas. Through his kindness I am enabled,transmit,you ,,,,
the census documents alluded,in a former dispatch. They con- ,,,,,
a Aagost 22 1843,,,,,,
Office has enclosed you by mail all the papers in relation,patents â€” ,,,,,
had sent,your Department. As the facts mentioned are of ,,,,,
absent and will not return for two or three weeks. Previous,the ,,,,,
departure of the Secretary of War, I agreed with him in regard to ,,,,,
letter,the Secretary of State upon this subject, a formal answer ,,,,
Secretary returns. I have however the honor,inform you, that ,,,,
the necessary orders have issued from the War Department,Grov ,,,,,
to start forthwith,invite the Indians in. A deputation of three ,,,,,
persons is,go and they are,carry with them tobacco, and other ,,,
presents,induce them,come in â€” they are,meet on the Texas ,,,
it earUer, but Gov Butler was of opinion that it was best,give ,,,,
full time, so as,prevent all difficulties. I hope the steps which I ,,,,
His Excellency the President will send Commissioners,attend the ,,,,,
Council. It will be necessary,have a Uttle beef and perhaps a ,,,,,
send in some provissions, and presents,be given them at the ,,,,
The final instructions which are,govern the Commissioners of ,,,,,
the United States have not been given. I do not know,what ,,,,,
to obtain some important evidence in relation,the negroes of Dr ,,,,,
a The letter of Smith,Jones copied Is of date July 31 ,1S43 , and it refers,the work in London of the Abo- ,,
them, so soon as the Secretary of State returns,his post. I think ,,,,
therefore that you would do well,inform Dr Robinson, that it will ,,,,
not likely be necessary for him,take any further steps in relation to ,,,,,
I have the honor,be with great ,,,,,
[Next comes a copy of Van Zandt,Upshur, August 16 1843,,,,
Jones,Elliot.* ,,,,,
Upshub,Van Zandt. *^ ,,,,,
Van Zandt,Upshur.*' ,,,,,
Van 21andt,Upshub.* ,,,,,
Elliot,Jones./ ,,,,,
Van Zandt,Jones.^ ,,,,,
It has been made known,your Department, in a former dispatch, ,,,
had communicated, verbally, to the President, and Secretary of State ,,,
b September 4 1813,,,,,,
e September 7 1843,,,,,,
d September 14 1843,,,,,,
e September 14 1843,,,,,,
/ September 15 1843,,,,,,
this, I have not thought it proper for me,urge it again upon this ,,,,
announcement,him, that my instructions were suspended, seems to ,,,
have fired him anew in regard,it. He has frequently inquired ,,,,,
tration upon this subject; to this, I have always replied, in substance, ,,,
sition was made,Texas, and with a strong probability the measure ,,,,
would be acceded to, but could not speak with certainty or authority. ,,,,,
I further said,him, I did not deem it improper for me,communi- ,,,
cate,him, (as he had interrogated me on the point) that portion of ,,,,
the question of the annexation of Texas,the United States, and if, ,,,
after this event, Texas should continue,desire this annexation, a ,,,
treaty for the purpose would be more likely,succeed, and,meet ,,,
our several conversations alluded to, Mr, Upshur frequently remarked ,,,,
I now proceed,submit for your information and consideration, ,,,,
the substance of a conversation had with the Secretary of State, to ,,,,,
day, in relation,this matter. I called at the State Department ,,,,
an interview. Without waiting,be informed of the object of my ,,,,,
visit, he proceeded in substance,say, that his object in wishing to ,,,
see me, was,make known farther his views, and the wishes of the ,,,
Executive on the subject of the anneication of Texas,the United ,,,,,
he was desirous I should immediately communicate this fact,your ,,,,,
Department, in order that should the President of Texas still desire to ,,,,,
immediately clothed with the necessary powers,act upon the ,,,,,
mitted,the next Senate, and entertaining this opinion he was ,,,,
desirous,act on it as early as practicable. He then stated at ,,,,,
Mr. Tyler's cabinet were not still opposed,the measure, he replied, ,,,
remarked,him, that though it might be possible our Grovemment ,,,,
might still desire,make the treaty, yet, I doubted xmder aU the ,,,
make it at tins time nor would he likely be able,do so in time for ,,,,,
me,communicate the fact,your department and obtain an ,,,,
be able,make the proposition before the meeting of Congress, and ,,,,
be sufficiently authorized,"act at once."" I then told him I wo\dd ",,,,,
immediately communicate,my Government what he had said,me ,,,,
about the matter, and his wi^es in relation,the same; and so ,,,,
importance,dispatch a special messenger with it, I replied, that ,,,
be proper,do so, imless I had the necessary powers,negotiate; ,,,
powers, to act in case the negotiation was proposed on their part, ,,,,
he will carry out the measures indicated or not, is impossible,tell. ,,,,
is hard,know what, or whether any move will be made on any par- ,,,,
were concluded, and submitted,the Senate, no doubt the debate ,,,
could contribute so much as her annexation,the United States, ,,,,
people, up,the time of the receipt of your letter suspending my ,,,,
lated,advance or promote this object. ,,,,,
course imadvised; facts and circumstances, known,him, may ,,,
them â€” ^it is not for me,determine what course should be taken by ,,,,,
making the same known,me. And here suffer me,remark ,,,,
ments determine,attempt the proposed measure, I am sensible the ,,,,
therefore be the wish of the Executive,confer those powers upon ,,,,,
be had at all) to discharge the duty in strict compUance with the ,,,,,,
of regard I have the honor,be ,,,,,
Van Zandt,Jones * ,,,,,
I have the honor, herewith, to enclose you a copy of a letter, ,,,
acknowledging the receipt of the communication above referred to. ,,,,,,
had here in relation,the contemplated Indian Council. All of ,,,,,
that the necessary steps will be taken,secure a corresponding action ,,,,,
I send you also a copy of my letter, to the Secretary of State, of ,,,,
the United States, of the 14th. Inst, calling his attention,the sub- ,,,
written without reflection, I determined,send mine, and pay no ,,,
attention,that of the Secretary, until I could see him personally, ,,,
which I did on today. After adverting,the case, and discussing ,,,,
it, Mr. Upshur requested me,return his letter, in order that he ,,,
With the testimony which I have produced,the Department, I do ,,,,
regard,an illicit trade carried on with the wild Indians of Texas, ,,,,
[Inclosed are the following:* Upshur,Van Zandt, September 7, ,,,
1843; Parker,Upshur, August 22 1843,,,,
18 1843,,,,,,
receipt of Upshur's note of September 7); Van Zandt,Upshur, ,,,,
Upshur,Mukpht.* ,,,,,
Upshur,Murphy.* ,,,,,
Murphy,Upshur.*' ,,,,,
Murphy,Upshur.^ ,,,,,
Jones,Van Zandt. ,,,,,
I have the honor,acknowledge the receipt of your two des- ,,,,,
all of which are satisfactory,the Department. ,,,,,
My last communication,you was of the 20th. of Augt. and was ,,,,,
Abell^ bearer of despatches,Gen Murphy. You will please return ,,,,,
the acknowledgment of my thanks,the Post Master Gren. of the ,,,,,
U. S. Mr. WickUffe and, also,the Commissioner of the Patent ,,,,
Commissioners on the part of this Govt, to arrange the terms of the ,,,,,
Armistice between Texas and Mexico, with Commissioners,be ,,,,
other prisoners are,be at once released by Gen. Santa Anna. ,,,,,
Enclosed herewith I have the honor,transmit you copies of some ,,,,,
conmiunicated,you in a former despatch. The disposition which ,,,,,
will inevitably lead,a breach of the good understanding now ,,,,,
earnest desire and effort of this government,maintain and per- ,,,,,
insult given,this Government in the person of its officer, and for the ,,,,
which it will be proper for you,use in support of this just demand. ,,,,,
the owners by resorting,force, without waiting for the clemency ,,,,
of the government,interpose in their behalf, forfeited all claim ,,,,
offices,effect a termination of the war between this country and ,,,,,
a The omiwlon here Indicated Is of a paragraph relating,Van Zandt's salary. ,,,,,
factory,the President. Coming as it does at the moment when ,,,,,
the two countries are about,commence friendly negotiations, it ,,,,
John Connor and Jim Shaw was sent,these Indians by the Presi- ,,,,,
to peace, and agreed,come,the Commanche Peak on the Brazos ,,,
at the time of the full moon in December,hold a council for that ,,,,,
purpose. In the mean time they promised,send out runners to ,,,,,
notify the scattered bands of this arrangement and,summon ,,,,,
them,attend at that time and place. They also promised to ,,,,,
cease hostilities, on their own part against Texas and,restrain ,,,,
the others from committing any as far as in their power,do. Should ,,,,,
the United States agree,the proposal you may have made, it will ,,,,
probably be well,despatch runners immediately,notify the In- ,,,,
dians of the fact. In order however,give full time for the recip- ,,,,,
rocal action of the two government as well as,consult all the ,,,,,
will consent,the Red River as the point of meeting. There will ,,,,,
not, it is presumed, be time for the Government of the U. S. to send ,,,,
out and ascertain the views and wishes of the Indians and then to ,,,,,,
send, a Commissioner,the Commanche Peak or Clear Fork of the ,,,,
Brazos by the full moon in December If so the council,be held ,,,,,
there might be made introductory,the one proposed,be held in ,,,,
May â€” or perhaps might be dispensed with, and made,correspond ,,,,
become a party and a guarantor,a treaty with the hostile Indians ,,,,,
of the U. States,attend the Indian Council was most acceptable to ,,,,,
United States should agree,send one,the Council now proposed. ,,,,
ment,communicate with him directly. ,,,,,
Enclosed herewith I have the honor,transmit you a copy of the ,,,,,
Official report,the Department of War and Marine, of Col. Jacob ,,,,
from any settlement with only five guns,protect them from the ,,,,,
hordes of ruthless savages by whom they were surrounded and to ,,,,,,
procure by hunting the necessary means,save them from starva- ,,,,,
energetic appeal,the Government of the United States in relation ,,,,,
letter,Brig. Gen. Taylor* this most unheard of outrage upon ,,,,,
missal of these officers, and for ample compensation,the menimder ,,,,
Republic of Texas, and according,that act, Santa F6 and all that ,,,
States Great Britain France and the Netherlands. The right to ,,,,,,
Rio Grande. Goods,an immense amount have been introduced, ,,,,
the duty of this govemment,interrupt and prevent. ,,,,,
fered to, and upon which principle Capt Cooke appears,have acted, ,,,
in disarming Col Snively, to avail himself of the boundary line be- ,,,,,
tween Texas and the United States being immarked, to occupy all the ,,,,,
to give this government a right upon the same principle,assert a ,,,,,
similar claim,the occupancy of all the territory between Texas ,,,,,
and the Mississippi river â€” an absurdity which if attempted,be ,,,,,
carried into practical effect would necessarily lead,war at once ,,,,,
between the two countries. It is,be hoped that the Government ,,,,,
ultimately lead,an entire subversion of them. ,,,,,
than,recall you, and,submit the matters in dispute,the ,,
factory redress is not likely,be awarded us you can verbally inform ,,,,,
him that this course will have ultimately,be adopted. You will ,,,,,
however use every persuasive means,obtain justice from the govern- ,,,,,
States, that he will cause,be delivered up one Hiram Kenley a ,,,,
you should first make an informal application, in order,ascertain ,,,,
whether the President of the United States would accede,such a ,,,,,
request, or not. If he should consent,the proposition, you can ,,,
and Mr. Bayne will go bn,Kentucky in Octr. or Novr. next, and ,,,,
you will please write,Gen. Henderson informing him of the answer ,,,,,
of the President of the United States may make,the request to ,,,,,
deliver up Kenley; and transmit,him also any order,that effect ,,,,
of the issue of any application you may make,the Govt, of the ,,,,
I have the honor,be with the highest respect ,,,,,
were the proclamation of Houston referred,therein, September 4, ,,,
1843,"-"" Jones",Elliot, September 4 1843,,,
prisoners, and the reply, September 15 1843,,,,
both of which are given below; Houston,Tyler, requesting the ,,,,
Govt, to organize and fit out an expedition for the purpose of inter- ,,,,,
through the territory of the RepubUc, to and from Santa F6 etc. ,,,,,
expressed, â€” ^That is,say. ,,,,
You are therefore, hereby authorized,organize such a force, ,,,
not exceeding three hundred men, as you may deem necessary to ,,,,,
corps,mount, equip and provision themselves at their own expense, ,,,
and one half of all the spoils taken in honorable warfare, to belong ,,,,,
to the RepubUc and the Government,be at no expense whatever ,,,,,
not,infringe upon the territory of that Govt., as the object of the ,,,,
expedition is,retaliate and make reclamation for injuries sustained ,,,,,
Custom House of that District, subject,the orders of the Grovem- ,,,,
ment, and the other half will belong,the captors,be equally ,,,
The result of the campaign will be reported,the Government ,,,,,
In my report of 29th June,'' I omitted,give you a statement of ,,,,
Station, to the Arkansas River. When I took up the line of march ,,,,,
ordering the Battallion,march,the River, on the 29th June for ,,,
ing June 30th, a party of men were dispatched,kill BuflFalo. After ,,,,
they discovered them,be S Dragoons approaching, and having ,,,,
b This earlier report, which Is filed with the Army Papers In the State Library, was addressed,M. C. ,,,
to the encampment, pursued,the Riveras brink. In a very short ,,,,
then dispatched LH. Lovell,my encampment, for the purpose of ,,,,
Com'dg Officer, Capt Cooke, desired him,say, that if I would visit ,,
nied L't* L. When I arrived Capt C. requested,see my orders. ,,,,,
come,the conclusion,disarm me. To this I protested, giving ,,,
Dragoons, and that if one of my men attempted,escape, he would ,,,
the River,cut the command,pieces. He had under his Com- ,,,,
advantage. At length he gave me permission,leave with orders ,,,,,
to recross the River, allowing me one hour,bring over the Batn., ,,,
the terms,the men. I had proceeded but a short distance, when I ,,,,
order them,"stack their Arms."" This was done", when the men ,,,,
clamoured,be received as prisoners of War. I requested Capt ,,,,,
Cooke,receive them as such. He said that **he had made his ,,,,,
put them,death, unarmed as they were. He then recrossed the ,,,,
River leaving ten rifles,107 men. The next morning, July, the 1st, ,,
ing me,bring over the men, in order that he might protect them ,,,,
a The errors in this sentence are probably due,mistakes of the copyist, but the proper corrections ,,,,
against the hostile Indians and Mexicans, who were supposed,be ,,,,
the men, and offered an Escort,all who wished,go,Inde- ,,
pendence M'o. About 50 men took that rout, to whom he gave 3 ,,,,,
an escort, unless, guarded,Texas. With this request he said he ,,,
could not comply. To this party he allowed five guns, to make their ,,,,,
same time,leave the Territory of the U. States as quick as possible. ,,,,,
express,Capt Chandler, who with his company of 74 men were ,,,,
marched,Elmn Creek and encamped. On the 2nd. I dispatched ,,,,,
Elish. C. Simmons and Francis Sharp,spy out the Caravan. They ,,,,,
sent out two men,spy out the Caravan, and was joined by Chandler. ,,,,
On the 4th. the Indians again attempted,stampead. They suc- ,,,,,
them, who engaged sixty Indians and killed from 8,15 of them. ,,,,
men unwilling,pursue the Caravan I resigned the Command. ,,,,,
I have the honor,be. Very respectfully. ,,,,,
I certify the foregoing,be a correct copy of the original on the ,,,,,
Wood,Van Zandt.* ,,,,,
of Jones,Van Zandt ,,,,,
Â» September 30 1843,,,,,,
